x,y
4421124.37537,20571321.2353
4424883.4757,20571321.2353
4428642.57603,20571321.2353
4432401.67636,20571321.2353
4436160.7767,20571321.2353
4439919.87703,20571321.2353
4443678.97736,20571321.2353
4447438.07769,20571321.2353
4451197.17803,20571321.2353
4454956.27836,20571321.2353
4458715.37869,20571321.2353
4462474.47902,20571321.2353
4466233.57935,20571321.2353
4469992.67969,20571321.2353
4473751.78002,20571321.2353
4477510.88035,20571321.2353
4481269.98068,20571321.2353
4485029.08102,20571321.2353
4488788.18135,20571321.2353
4492547.28168,20571321.2353
4496306.38201,20571321.2353
4500065.48234,20571321.2353
4503824.58268,20571321.2353
4507583.68301,20571321.2353
4511342.78334,20571321.2353
4515101.88367,20571321.2353
4518860.984,20571321.2353
4522620.08434,20571321.2353
4526379.18467,20571321.2353
4530138.285,20571321.2353
4533897.38533,20571321.2353
4537656.48567,20571321.2353
4541415.586,20571321.2353
4545174.68633,20571321.2353
4548933.78666,20571321.2353
4552692.88699,20571321.2353
4556451.98733,20571321.2353
4586524.78998,20571321.2353
4590283.89032,20571321.2353
4594042.99065,20571321.2353
4597802.09098,20571321.2353
4601561.19131,20571321.2353
4605320.29164,20571321.2353
4609079.39198,20571321.2353
4612838.49231,20571321.2353
4616597.59264,20571321.2353
4620356.69297,20571321.2353
4624115.79331,20571321.2353
4627874.89364,20571321.2353
4657947.6963,20571321.2353
3996346.03783,20567562.135
4000105.13816,20567562.135
4003864.2385,20567562.135
4007623.33883,20567562.135
4011382.43916,20567562.135
4015141.53949,20567562.135
4018900.63983,20567562.135
4022659.74016,20567562.135
4026418.84049,20567562.135
4030177.94082,20567562.135
4033937.04115,20567562.135
4037696.14149,20567562.135
4041455.24182,20567562.135
4045214.34215,20567562.135
4048973.44248,20567562.135
4052732.54281,20567562.135
4056491.64315,20567562.135
4060250.74348,20567562.135
4064009.84381,20567562.135
4067768.94414,20567562.135
4071528.04448,20567562.135
4075287.14481,20567562.135
4079046.24514,20567562.135
4082805.34547,20567562.135
4086564.4458,20567562.135
4090323.54614,20567562.135
4094082.64647,20567562.135
4097841.7468,20567562.135
4101600.84713,20567562.135
4105359.94747,20567562.135
4109119.0478,20567562.135
4112878.14813,20567562.135
4116637.24846,20567562.135
4120396.34879,20567562.135
4124155.44913,20567562.135
4127914.54946,20567562.135
4131673.64979,20567562.135
4135432.75012,20567562.135
4139191.85045,20567562.135
4142950.95079,20567562.135
4146710.05112,20567562.135
4150469.15145,20567562.135
4154228.25178,20567562.135
4157987.35212,20567562.135
4161746.45245,20567562.135
4165505.55278,20567562.135
4169264.65311,20567562.135
4173023.75344,20567562.135
4176782.85378,20567562.135
4180541.95411,20567562.135
4184301.05444,20567562.135
4188060.15477,20567562.135
4191819.25511,20567562.135
4195578.35544,20567562.135
4199337.45577,20567562.135
4203096.5561,20567562.135
4206855.65643,20567562.135
4210614.75677,20567562.135
4214373.8571,20567562.135
4218132.95743,20567562.135
4221892.05776,20567562.135
4225651.15809,20567562.135
4229410.25843,20567562.135
4233169.35876,20567562.135
4236928.45909,20567562.135
4240687.55942,20567562.135
4244446.65976,20567562.135
4248205.76009,20567562.135
4251964.86042,20567562.135
4255723.96075,20567562.135
4259483.06108,20567562.135
4263242.16142,20567562.135
4267001.26175,20567562.135
4270760.36208,20567562.135
4274519.46241,20567562.135
4278278.56275,20567562.135
4282037.66308,20567562.135
4285796.76341,20567562.135
4289555.86374,20567562.135
4293314.96407,20567562.135
4297074.06441,20567562.135
4300833.16474,20567562.135
4304592.26507,20567562.135
4308351.3654,20567562.135
4312110.46573,20567562.135
4315869.56607,20567562.135
4319628.6664,20567562.135
4323387.76673,20567562.135
4327146.86706,20567562.135
4330905.9674,20567562.135
4334665.06773,20567562.135
4338424.16806,20567562.135
4342183.26839,20567562.135
4345942.36872,20567562.135
4349701.46906,20567562.135
4353460.56939,20567562.135
4357219.66972,20567562.135
4360978.77005,20567562.135
4364737.87039,20567562.135
4368496.97072,20567562.135
4372256.07105,20567562.135
4376015.17138,20567562.135
4379774.27171,20567562.135
4383533.37205,20567562.135
4387292.47238,20567562.135
4391051.57271,20567562.135
4394810.67304,20567562.135
4398569.77337,20567562.135
4402328.87371,20567562.135
4406087.97404,20567562.135
4409847.07437,20567562.135
4413606.1747,20567562.135
4417365.27504,20567562.135
4421124.37537,20567562.135
4424883.4757,20567562.135
4428642.57603,20567562.135
4432401.67636,20567562.135
4436160.7767,20567562.135
4439919.87703,20567562.135
4443678.97736,20567562.135
4447438.07769,20567562.135
4451197.17803,20567562.135
4454956.27836,20567562.135
4458715.37869,20567562.135
4462474.47902,20567562.135
4466233.57935,20567562.135
4469992.67969,20567562.135
4473751.78002,20567562.135
4477510.88035,20567562.135
4481269.98068,20567562.135
4485029.08102,20567562.135
4488788.18135,20567562.135
4492547.28168,20567562.135
4496306.38201,20567562.135
4500065.48234,20567562.135
4503824.58268,20567562.135
4507583.68301,20567562.135
4511342.78334,20567562.135
4515101.88367,20567562.135
4518860.984,20567562.135
4522620.08434,20567562.135
4526379.18467,20567562.135
4530138.285,20567562.135
4533897.38533,20567562.135
4537656.48567,20567562.135
4541415.586,20567562.135
4545174.68633,20567562.135
4548933.78666,20567562.135
4552692.88699,20567562.135
4556451.98733,20567562.135
4560211.08766,20567562.135
4590283.89032,20567562.135
4594042.99065,20567562.135
4597802.09098,20567562.135
4601561.19131,20567562.135
4605320.29164,20567562.135
4609079.39198,20567562.135
4612838.49231,20567562.135
4616597.59264,20567562.135
4620356.69297,20567562.135
4624115.79331,20567562.135
4627874.89364,20567562.135
3996346.03783,20563803.0346
4000105.13816,20563803.0346
4003864.2385,20563803.0346
4007623.33883,20563803.0346
4011382.43916,20563803.0346
4015141.53949,20563803.0346
4018900.63983,20563803.0346
4022659.74016,20563803.0346
4026418.84049,20563803.0346
4030177.94082,20563803.0346
4033937.04115,20563803.0346
4037696.14149,20563803.0346
4041455.24182,20563803.0346
4045214.34215,20563803.0346
4048973.44248,20563803.0346
4052732.54281,20563803.0346
4056491.64315,20563803.0346
4060250.74348,20563803.0346
4064009.84381,20563803.0346
4067768.94414,20563803.0346
4071528.04448,20563803.0346
4075287.14481,20563803.0346
